ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice ,20th Choice
000101-00-0001,C01,C10,C11,WI0,WI0,WI0,WI0,WI0,WI0,C08,C05,C09,C03,C07,C14,C17,C19,WI0,WI0,WI0
000101-00-0002,C20,C18,WI0,,,,,,,,,,,,,,,,,
000101-00-0003,C20,C18,C06,C12,C15,C02,C03,C04,C05,,,,,,,,,,,
000101-00-0003,WI0,WI0,,,,,,,,,,,,,,,,,,
000101-00-0004,C06,C18,WI0,WI0,C12,C20,,,,,,,,,,,,,,
000101-00-0005,C20,C12,C06,C19,,,,,,,,,,,,,,,,
000101-00-0006,C01,C20,C06,,,,,,,,,,,,,,,,,
000101-00-0009,C18,C20,C06,C12,C01,C15,,,,,,,,,,,,,,
000101-00-0010,C20,C15,C16,C04,,,,,,,,,,,,,,,,
000101-00-0015,C20,C13,C01,,,,,,,,,,,,,,,,,
000101-00-0017,C10,,,,,,,,,,,,,,,,,,,
000101-00-0020,C03,C06,WI0,C08,,,,,,,,,,,,,,,,
000101-00-0021,C18,C06,C15,C07,,,,,,,,,,,,,,,,
000101-00-0023,overvote,,,,,,,,,,,,,,,,,,,
000101-00-0026,C06,C20,C18,C12,,,,,,,,,,,,,,,,
000101-00-0027,C18,C14,C12,,,,,,,,,,,,,,,,,
000101-00-0031,C10,C18,C20,C03,,,,,,,,,,,,,,,,
000101-00-0033,C10,overvote,,,,,,,,,,,,,,,,,,
000101-00-0038,C16,C02,C01,C13,C10,C04,C20,C15,,,,,,,,,,,,
000101-00-0041,C20,C04,C06,C12,,,,,,,,,,,,,,,,
000101-00-0042,C18,C03,C20,C06,C13,C14,C12,C10,C09,C07,,,,,,,,,,
000101-00-0047,C18,C20,C06,C12,C15,,,,,,,,,,,,,,,
000101-00-0049,C13,C16,C15,C18,C20,C02,C06,C04,C12,,,,,,,,,,,
000101-00-0052,C20,,,,,,,,,,,,,,,,,,,
000101-00-0055,C03,C05,C09,C11,C14,C19,C01,,,,,,,,,,,,,
000101-00-0058,C18,C20,C12,C06,C04,,,,,,,,,,,,,,,
000101-00-0062,C20,C06,C18,,,,,,,,,,,,,,,,,
000101-00-0064,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0066,C20,C06,C12,C18,C16,,,,,,,,,,,,,,,
000101-00-0071,,,,,,,,,,,,,,,,,,,,
000101-00-0072,,,,,,,,,,,,,,,,,,,,
000101-00-0076,overvote,overvote,,,,,,,,,,,,,,,,,,
000101-00-0080,C13,C18,C05,,,,,,,,,,,,,,,,,
000101-00-0081,C20,C12,C16,C06,C15,C02,C18,C04,C01,,,,,,,,,,,
000101-00-0085,C01,C16,,,,,,,,,,,,,,,,,,
000101-00-0087,C13,C12,C06,C02,,,,,,,,,,,,,,,,
000101-00-0092,C18,C06,C03,C20,,,,,,,,,,,,,,,,
000101-00-0094,C06,C18,C10,,,,,,,,,,,,,,,,,
000101-00-0097,C18,C06,C12,C13,,,,,,,,,,,,,,,,
000101-00-0101,C01,C14,C18,C15,C06,,,,,,,,,,,,,,,
000101-00-0103,C15,C16,C18,C20,C02,C04,C06,C12,C13,,,,,,,,,,,
000101-00-0107,C01,C15,C05,C18,C14,,,,,,,,,,,,,,,
000101-00-0109,C12,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0111,C12,,,,,,,,,,,,,,,,,,,
000101-00-0115,C01,C14,C09,,,,,,,,,,,,,,,,,
000101-00-0118,C20,C06,C18,,,,,,,,,,,,,,,,,
000101-00-0120,C20,C02,C15,C13,C04,C06,C16,C14,C18,C12,,,,,,,,,,
000101-00-0124,C06,C18,C10,,,,,,,,,,,,,,,,,
000101-00-0125,C06,C18,C20,C12,C13,C16,,,,,,,,,,,,,,
000101-00-0128,C06,C04,C02,C16,C13,C12,,,,,,,,,,,,,,
000101-00-0133,C06,C12,,,,,,,,,,,,,,,,,,
000101-00-0135,C20,C18,C15,C05,C06,,,,,,,,,,,,,,,
000101-00-0139,C14,C01,C09,C05,C03,C17,C19,C02,,,,,,,,,,,,
000101-00-0142,C14,C09,C01,C02,,,,,,,,,,,,,,,,
000101-00-0144,C20,C01,C08,,,,,,,,,,,,,,,,,
000101-00-0148,C20,C12,C18,C06,,,,,,,,,,,,,,,,
000101-00-0150,C16,C20,C01,,,,,,,,,,,,,,,,,
000101-00-0154,C14,C01,C09,C02,,,,,,,,,,,,,,,,
000101-00-0157,C13,C15,C01,,,,,,,,,,,,,,,,,
000101-00-0158,C01,,,,,,,,,,,,,,,,,,,
000101-00-0161,C20,C01,C14,C12,C11,C10,C15,C18,C09,C08,C02,,,,,,,,,
000101-00-0164,C01,C15,C02,,,,,,,,,,,,,,,,,
000101-00-0167,C01,C14,C12,,,,,,,,,,,,,,,,,
000101-00-0171,C04,C01,,,,,,,,,,,,,,,,,,
000101-00-0175,C09,C02,C06,,,,,,,,,,,,,,,,,
000101-00-0178,C01,C02,C06,C04,,,,,,,,,,,,,,,,
000101-00-0181,C14,C09,C01,C02,C04,C16,C15,C11,C10,C12,C13,C17,C18,C03,C06,C08,C07,C05,,
000101-00-0182,C20,,,,,,,,,,,,,,,,,,,
000101-00-0186,C20,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0188,C12,C01,C02,C20,C16,,,,,,,,,,,,,,,
000101-00-0191,C06,C04,C20,C01,C19,C14,C13,C18,C16,C12,C08,C03,C11,C10,C15,C17,C09,C07,C05,
000101-00-0195,C10,C20,C18,C16,,,,,,,,,,,,,,,,
000101-00-0197,C06,C18,C20,C12,,,,,,,,,,,,,,,,
000101-00-0201,C17,C01,C09,C15,,,,,,,,,,,,,,,,
000101-00-0204,C12,,,,,,,,,,,,,,,,,,,
000101-00-0207,overvote,,,,,,,,,,,,,,,,,,,
000101-00-0209,C13,C02,C16,C10,C19,C01,C03,C04,,,,,,,,,,,,
000101-00-0213,C20,C06,C02,C12,C18,,,,,,,,,,,,,,,
000101-00-0216,C02,C01,C06,,,,,,,,,,,,,,,,,
000101-00-0218,C20,C06,C12,C02,C18,,,,,,,,,,,,,,,
000101-00-0221,,,,,,,,,,,,,,,,,,,,
000101-00-0224,C01,C09,C16,C06,C04,,,,,,,,,,,,,,,
000101-00-0229,C16,C02,C06,C15,C13,C01,C04,C03,C20,C19,C18,,,,,,,,,
000101-00-0231,C01,C20,C02,,,,,,,,,,,,,,,,,
000101-00-0234,C10,,,,,,,,,,,,,,,,,,,
000101-00-0236,C01,C02,C04,C20,C18,C06,C10,,,,,,,,,,,,,
000101-00-0240,C20,C06,C18,C12,,,,,,,,,,,,,,,,
000101-00-0244,C01,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0247,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0249,C01,C18,,,,,,,,,,,,,,,,,,
000101-00-0252,C03,C16,C01,,,,,,,,,,,,,,,,,
000101-00-0254,C14,C02,C01,C20,C06,C04,C10,C18,,,,,,,,,,,,
000101-00-0259,,,,,,,,,,,,,,,,,,,,
000101-00-0260,overvote,overvote,,,,,,,,,,,,,,,,,,
000101-00-0263,C02,C20,C18,C15,C06,C14,C17,C19,C11,C09,C07,C08,C10,C12,C13,C16,C01,C03,C04,
000101-00-0266,C20,C18,C12,C06,C03,C04,,,,,,,,,,,,,,
000101-00-0270,C03,C14,C07,C02,,,,,,,,,,,,,,,,
000101-00-0274,C16,C20,C02,C12,C13,C06,C04,C18,C15,C01,C10,C19,C03,,,,,,,
000101-00-0277,C06,C20,,,,,,,,,,,,,,,,,,
000101-00-0278,C20,C06,C18,C05,C10,C17,,,,,,,,,,,,,,
000101-00-0282,C16,C20,C06,C12,C18,,,,,,,,,,,,,,,
000101-00-0285,C14,C09,,,,,,,,,,,,,,,,,,
000101-00-0288,C20,C18,C06,C12,,,,,,,,,,,,,,,,
000101-00-0291,C20,C12,C18,C06,C10,C01,C03,C08,C14,C19,C15,C13,C09,C04,C02,C05,C16,C17,C07,
000101-00-0293,C12,C18,C20,C01,,,,,,,,,,,,,,,,
000101-00-0298,C13,C02,C01,C16,,,,,,,,,,,,,,,,
000101-00-0301,C13,C01,C02,,,,,,,,,,,,,,,,,
000101-00-0302,C01,C02,C04,C16,C17,C19,C18,,,,,,,,,,,,,
000101-00-0306,C20,C18,C16,C15,,,,,,,,,,,,,,,,
000101-00-0309,C20,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0311,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0314,C20,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0319,C20,C04,C16,C17,C09,C02,C03,C07,C08,C10,C11,C12,C13,C14,C18,C19,C01,C05,C06,C15
000101-00-0320,C16,C01,C14,,,,,,,,,,,,,,,,,
000101-00-0324,C17,,,,,,,,,,,,,,,,,,,
000101-00-0327,C03,C09,C20,C15,C16,C02,,,,,,,,,,,,,,
000101-00-0329,C03,C20,C09,C15,C01,,,,,,,,,,,,,,,
000101-00-0333,C20,,,,,,,,,,,,,,,,,,,
000101-00-0336,C10,C14,C17,C01,C08,C09,,,,,,,,,,,,,,
000101-00-0337,C01,C20,C09,C15,C02,C04,C13,C16,C19,C18,,,,,,,,,,
000101-00-0340,C20,C06,C12,C13,C01,C15,C05,C14,C16,C17,,,,,,,,,,
000101-00-0345,C19,C20,C15,C18,C14,C06,C02,C16,C12,C13,C04,C17,C01,C03,C09,C08,C11,C07,C05,C10
